
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)",="(19)",="(20)",="(21)",="(22)",="(23)",="(24)",="(25)",="(26)",="(27)",="(28)"
="ED8ut_shock",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.339*",="0.0263",="0.260**",="0.0654"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.129)",="(0.0477)",="(0.0975)",="(0.0371)"

="L.ED8ut_shock",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.268",="0.0477",="0.233*",="0.0986**"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.150)",="(0.0487)",="(0.114)",="(0.0345)"

="_cons",="2.660***",="2.234***",="2.752***",="2.111***",="2.238***",="1.822***",="2.274***",="1.731***",="2.745***",="2.768***",="2.308***",="2.304***",="2.263***",="2.788***",="1.950***",="2.268***",="2.411***",="2.311***",="2.015***",="1.944***",="2.543***",="2.480***",="2.091***",="2.030***",="2.235***",="2.117***",="1.823***",="1.736***"
="",="(0.120)",="(0.0857)",="(0.0977)",="(0.0407)",="(0.0997)",="(0.0675)",="(0.0856)",="(0.0275)",="(0.132)",="(0.101)",="(0.109)",="(0.0891)",="(0.134)",="(0.120)",="(0.116)",="(0.107)",="(0.123)",="(0.0854)",="(0.0990)",="(0.0710)",="(0.115)",="(0.0881)",="(0.0927)",="(0.0700)",="(0.111)",="(0.0494)",="(0.0847)",="(0.0366)"

="N",="139",="98",="139",="98",="139",="98",="139",="98",="139",="139",="139",="139",="139",="139",="139",="139",="120",="120",="120",="120",="120",="120",="120",="120",="99",="99",="99",="99"
="R-sq",="0.003",="0.487",="0.008",="0.328",="0.007",="0.459",="0.001",="0.485",="0.074",="0.015",="0.062",="0.021",="0.174",="0.004",="0.138",="0.000",="0.056",="0.184",="0.029",="0.074",="0.129",="0.015",="0.120",="0.034",="0.119",="0.011",="0.130",="0.086"

="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
